"MARCA","MODELO","VERSAO","Álcool
Cidade (km/l)","Álcool
Estrada (km/l)","Gasolina
Cidade (km/l)","Gasolina
Estrada (km/l)","Consumo Energético (MJ/km)","Classificação"
"AUDI","A3 Sedan","Attraction/Ambiente 1.4-16V A-6","7.8","9.9","11.7","14.2","1.72","B"
"AUDI","A3","Sedan
Attraction 1.4-16V A-6","7.8","9.9","11.7","14.2","1.72","C"
"AUDI","A3","Sedan
Ambiente 1.4-16V A-6","7.8","9.9","11.7","14.2","1.72","B"
"AUDI","A3 Sedan","Attraction/Ambiente 1.4-16V A-6","7.8","9.9","11.7","14.2","1.72","B"
"AUDI","A3 Sedan","Prestige 1.4-16V A-6","7.8","9.9","11.7","14.2","1.72","C"
"AUDI","A3 Sedan","Prestige Plus 1.4-16V A-6","7.8","9.9","11.7","14.2","1.72","C"
"AUDI","A3 Sedan","Attraction (150cv) 1.4-16V A-6","7.8","9.9","11.7","14.2","1.72","C"
"AUDI","A3 Sedan","Ambiente (150cv) 1.4-16V A-6","7.8","9.9","11.7","14.2","1.72","C"
"AUDI","A3 Sedan","1.4-16V Attraction/Ambiente A-6","7.8","9.9","11.7","14.2","1.72","C"
"AUDI","Q3","Attraction / Ambiente / Ambition 1.4-16V DCT-6","6.9","8.1","10.2","11.9","2.02","C"
"AUDI","Q3","Attraction / Ambiente / Ambition 1.4-16V DCT-6","6.9","8.1","10.2","11.9","2.02","C"
"AUDI","Q3","Prestige 1.4-16V DCT-6","6.9","8.1","10.2","11.9","2.02","C"
"AUDI","Q3","Prestige Plus 1.4-16V DCT-6","6.9","8.1","10.2","11.9","2.02","C"
"AUDI","Q3","Black 1.4-16V DCT-6","6.9","8.1","10.2","11.9","2.02","C"
"AUDI","Q5 Sportback  TFSIe","Performance 2.0 - 16V A-7","8.6","8.9","21.8","21.8","0.93","C"
"AUDI","Q5 Sportback  TFSIe","Performance Black 2.0 - 16V A-7","8.6","8.9","21.8","21.8","0.93","C"
"AUDI","Q5 TFSIe","Performance 2.0 - 16V A-7","8.5","9.6","20.9","21.6","0.96","C"
"AUDI","Q5 TFSIe","Performance Black 2.0 - 16V A-7","8.5","9.6","20.9","21.6","0.96","C"
"BMW","220i","CAT ActiveFlex 2.0 - 16v A-8","7.1","8.7","10.5","12.9","1.92","C"
"BMW","220i","CAT ActiveFlex 2.0 - 16v A-8","7.1","8.7","10.5","12.9","1.92","C"
"BMW","320i","ActiveFlex 2.0 - 16v A-8","6.7","8.8","9.8","12.8"," 2","C"
"BMW","320i","ActiveFlex 2.0 - 16v A-8","6.7","8.8","9.8","12.8"," 2","C"
"BMW","320i","Active flex 2.0 - 16V A-8","7.5"," 9","10.9","13.2","1.85","C"
"BMW","328i","ActiveFlex 2.0 - 16v A-8","6.4","8.5","9.8","12.5","2.06","C"
"BMW","328i","ActiveFlex 2.0 - 16v A-8","6.4","8.5","9.8","12.5","2.06","C"
"BMW","330e","- 2.0 - 16V A-8","9.5","11.2","22.4","25.9","0.85","C"
